UP000000212	GCA_000317975.2
UP000195521	GCA_002157705.1
UP000195527	GCA_002161765.1
UP000195536	GCA_002177075.1
UP000195547	GCA_002163855.1
UP000195554	GCA_002176975.1
UP000195569	GCA_900007165.2
UP000195571	GCA_002168485.1
UP000195591	GCA_002165585.1
UP000195605	GCA_002171195.1
UP000195626	GCA_002172625.1
UP000195645	GCA_002176905.1
UP000195651	GCA_002176965.1
UP000195657	GCA_002169835.1
UP000195664	GCA_002161065.1
UP000195667	GCA_900163755.1
UP000195674	GCA_002161445.1
UP000195722	GCA_900143625.1
UP000195755	GCA_002192455.1
UP000195765	GCA_002169405.1
UP000195787	GCA_900163565.1
UP000195799	GCA_002171445.1
UP000195816	GCA_002170365.1
UP000195822	GCA_002163835.1
UP000195838	GCA_002159665.1
UP000195852	GCA_002177045.1
UP000195874	GCA_002170405.1
UP000195880	GCA_002189675.1
UP000195913	GCA_900163545.1
UP000195918	GCA_900163795.1
UP000195931	GCA_900163695.1
UP000195940	GCA_002157565.1
UP000195951	GCA_900163865.1
UP000195953	GCA_900183995.1
UP000195960	GCA_002170675.1
UP000195961	GCA_002171575.1
UP000195962	GCA_002160525.1
UP000195966	GCA_002169555.1
UP000195969	GCA_002168005.1
UP000195974	GCA_002159835.1
UP000195981	GCA_900163655.1
UP000195988	GCA_002170965.1
UP000196010	GCA_002169865.1
UP000196031	GCA_002170935.1
UP000196038	GCA_002169355.1
UP000196045	GCA_002172435.1
UP000196053	GCA_900070325.1
UP000196067	GCA_002163025.1
UP000196068	GCA_002171515.1
UP000196083	GCA_002168385.1
UP000196084	GCA_002177135.1
UP000196089	GCA_002160755.1
UP000196106	GCA_002170775.1
UP000196123	GCA_002168555.1
UP000196124	GCA_900163555.1
UP000196125	GCA_900184095.1
UP000196134	GCA_002159535.1
UP000196145	GCA_002168185.1
UP000196151	GCA_002174455.1
UP000196158	GCA_900180425.1
UP000196159	GCA_002171315.1
UP000196167	GCA_002168745.1
UP000196168	GCA_002169115.1
UP000196208	GCA_002165575.1
UP000196221	GCA_002168805.1
UP000196239	GCA_900065925.1
UP000196257	GCA_002172185.1
UP000196264	GCA_002169675.1
UP000196267	GCA_002159625.1
UP000196278	GCA_002160255.1
UP000196288	GCA_002176875.1
UP000196301	GCA_002161645.1
UP000196320	GCA_900163815.1
UP000196331	GCA_900163645.1
UP000196358	GCA_002169155.1
UP000196365	GCA_900167305.1
UP000196371	GCA_002167345.1
UP000196374	GCA_002168725.1
UP000196375	GCA_002172375.1
UP000196408	GCA_002170085.1
UP000196421	GCA_002167945.1
UP000196426	GCA_002176955.1
UP000196431	GCA_002163565.1
UP000196435	GCA_900155355.1
UP000196436	GCA_002171125.1
UP000196445	GCA_002163625.1
UP000196455	GCA_002163115.1
UP000196457	GCA_002169785.1
UP000196475	GCA_002159075.1
UP000196482	GCA_002170315.1
UP000196483	GCA_002159425.1
UP000196489	GCA_002176885.1
UP000196509	GCA_002172795.1
UP000196536	GCA_002174125.1
UP000196573	GCA_900174585.1
UP000196581	GCA_900163715.1
UP000196622	GCA_002170695.1
UP000196628	GCA_002170005.1
UP000196698	GCA_002170735.1
UP000196752	GCA_002169695.1
UP000196778	GCA_900163835.1
UP000196843	GCA_002197185.1
UP000196876	GCA_002196005.1
UP000197049	GCA_002205495.1
UP000197065	GCA_900187945.1
UP000197092	GCA_002214345.1
UP000197097	GCA_002205635.1
UP000197116	GCA_002200935.1
UP000197138	GCA_002201585.1
UP000197156	GCA_002214365.1
UP000197157	GCA_002211585.1
UP000197277	GCA_002204745.1
UP000197290	GCA_002197685.1
UP000197361	GCA_002205675.1
UP000197418	GCA_002214485.1
UP000197468	GCA_002205645.1
UP000197485	GCA_002208625.1
UP000197587	GCA_000735695.2
UP000197596	GCA_002213415.1
UP000197619	GCA_002197715.1
UP000197679	GCA_002214165.1
UP000197783	GCA_002197665.1
UP000197808	GCA_002197835.1
UP000197915	GCA_002204705.1
UP000198039	GCA_002197755.1
UP000198131	GCA_900187375.1
UP000198141	GCA_900187385.1
UP000198149	GCA_002210085.1
UP000198171	GCA_002211385.1
UP000198203	GCA_900090195.1
UP000198209	GCA_001784615.1
UP000198210	GCA_900090305.1
UP000198211	GCA_002215365.1
UP000198213	GCA_900090205.1
UP000198215	GCA_900090295.1
UP000198217	GCA_900090235.1
UP000198219	GCA_002134785.1
UP000198238	GCA_002216145.1
UP000198240	GCA_002101315.1
UP000198248	GCA_002172775.1
UP000198250	GCA_002216065.1
UP000198251	GCA_900091445.1
UP000198253	GCA_900091495.1
UP000198261	GCA_001786505.1
UP000198266	GCA_001784535.1
UP000198280	GCA_900188405.1
UP000198281	GCA_900188165.1
UP000198282	GCA_900188345.1
UP000198287	GCA_002217175.1
UP000198291	GCA_900187965.1
UP000198307	GCA_900199195.1
UP000198310	GCA_900188255.1
UP000198312	GCA_002216775.1
UP000198323	GCA_002218305.1
UP000198324	GCA_900188225.1
UP000198337	GCA_900188415.1
UP000198339	GCA_900188185.1
UP000198341	GCA_002220235.1
UP000198345	GCA_002217285.1
UP000198356	GCA_900188085.1
UP000198362	GCA_900188485.1
UP000198373	GCA_900188375.1
UP000198374	GCA_002217925.1
UP000198381	GCA_002217395.1
UP000198384	GCA_900188235.1
UP000198386	GCA_900188205.1
UP000198392	GCA_002220305.1
UP000198397	GCA_900188065.1
UP000198402	GCA_002217945.1
UP000198403	GCA_900188025.1
UP000198406	GCA_002217885.1
UP000198409	GCA_900188295.1
UP000198412	GCA_900188355.1
UP000198415	GCA_900188005.1
UP000198419	GCA_000599465.2
UP000198426	GCA_900188335.1
UP000198432	GCA_900188175.1
UP000198461	GCA_900141795.1
UP000198546	GCA_900101785.1
UP000198591	GCA_900105685.1
UP000198604	GCA_001375655.1
UP000198608	GCA_001499735.1
UP000198617	GCA_900103365.1
UP000198633	GCA_900018345.1
UP000198634	GCA_900110775.1
UP000198637	GCA_900105225.1
UP000198651	GCA_001460935.1
UP000198660	GCA_900116235.1
UP000198688	GCA_900104725.1
UP000198690	GCA_900091315.1
UP000198736	GCA_001458775.1
UP000198741	GCA_900104535.1
UP000198750	GCA_900091955.1
UP000198765	GCA_900089605.1
UP000198774	GCA_900045905.1
UP000198813	GCA_900021155.1
UP000198822	GCA_900099705.1
UP000198825	GCA_900105785.1
UP000198843	GCA_900106075.1
UP000198859	GCA_900104965.1
UP000198886	GCA_900091995.1
UP000198937	GCA_900091615.1
UP000198961	GCA_900094635.1
UP000198963	GCA_900105425.1
UP000198973	GCA_001517425.1
UP000198983	GCA_900104745.1
UP000199009	GCA_900100885.1
UP000199013	GCA_900067225.1
UP000199020	GCA_900091855.1
UP000199032	GCA_001458735.1
UP000199066	GCA_001368815.1
UP000199067	GCA_900044025.1
UP000199087	GCA_001048695.1
UP000199092	GCA_900105065.1
UP000199103	GCA_900105385.1
UP000199117	GCA_900105145.1
UP000199126	GCA_900110465.1
UP000199131	GCA_900091845.1
UP000199169	GCA_900089955.1
UP000199205	GCA_900094565.1
UP000199265	GCA_900091965.1
UP000199315	GCA_900096945.1
UP000199316	GCA_900091795.1
UP000199324	GCA_900016875.1
UP000199360	GCA_900090105.1
UP000199393	GCA_900091425.1
UP000199413	GCA_900091465.1
UP000199432	GCA_900104925.1
UP000199442	GCA_900104375.1
UP000199458	GCA_900104785.1
UP000199466	GCA_900105595.1
UP000199480	GCA_900105025.1
UP000199521	GCA_900067065.1
UP000199552	GCA_900104765.1
UP000199582	GCA_900109455.1
UP000199600	GCA_900089945.1
UP000199649	GCA_900104705.1
UP000199670	GCA_900094945.1
UP000199679	GCA_900105165.1
UP000199699	GCA_900091585.1
UP000199700	GCA_900105045.1
UP000199720	GCA_002171535.1
UP000199729	GCA_002222655.1
UP000199743	GCA_002160825.1
UP000199745	GCA_002224285.1
UP000199758	GCA_900129825.1
UP000199762	GCA_002224445.1
UP000199767	GCA_002224485.1
UP000199772	GCA_002170955.1
UP000199775	GCA_002167695.1
UP000199780	GCA_002160135.1
UP000199781	GCA_002172275.1
UP000199782	GCA_002170885.1
UP000199783	GCA_002170335.1
UP000199784	GCA_002172695.1
UP000199785	GCA_002167385.1
UP000199786	GCA_002160985.1
UP000199787	GCA_002168795.1
UP000199788	GCA_002168075.1
UP000199801	GCA_002159505.1
UP000199802	GCA_002161355.1
UP000201040	GCA_000914275.1
UP000201042	GCA_001965675.1
UP000201046	GCA_001590015.1
UP000201047	GCA_001444025.1
UP000201049	GCA_000916015.1
UP000201052	GCA_001777325.1
UP000201053	GCA_000873925.1
UP000201054	GCA_001891055.1
UP000201055	GCA_000881915.1
UP000201056	GCA_001755465.1
UP000201057	GCA_001443805.1
UP000201058	GCA_000930875.1
UP000201059	GCA_001927135.1
UP000201060	GCA_001960775.1
UP000201061	GCA_001967275.1
UP000201063	GCA_001966255.1
UP000201065	GCA_001551665.1
UP000201066	GCA_000901415.1
UP000201068	GCA_000923515.1
UP000201069	GCA_000920695.1
UP000201070	GCA_001962375.1
UP000201072	GCA_001589515.1
UP000201073	GCA_001743875.1
UP000201074	GCA_001964675.1
UP000201075	GCA_000858845.1
UP000201078	GCA_001966135.1
UP000201080	GCA_000915655.1
UP000201082	GCA_001766605.1
UP000201087	GCA_001717255.1
UP000201088	GCA_001923635.1
UP000201089	GCA_001965815.1
UP000201090	GCA_000882555.1
UP000201092	GCA_002003835.1
UP000201094	GCA_001933825.1
UP000201095	GCA_001736915.1
UP000201096	GCA_001926675.1
UP000201097	GCA_001960055.1
UP000201100	GCA_001968355.1
UP000201102	GCA_001651145.1
UP000201103	GCA_002219745.1
UP000201104	GCA_000893735.1
UP000201105	GCA_000915335.1
UP000201109	GCA_001430535.1
UP000201117	GCA_000874065.1
UP000201118	GCA_000928595.1
UP000201119	GCA_001961875.1
UP000201120	GCA_000969195.1
UP000201121	GCA_001965015.1
UP000201122	GCA_001960195.1
UP000201123	GCA_000872065.1
UP000201124	GCA_002008795.1
UP000201125	GCA_001962635.1
UP000201126	GCA_001590155.1
UP000201127	GCA_001744215.1
UP000201128	GCA_002004535.1
UP000201132	GCA_000915275.1
UP000201133	GCA_001966935.1
UP000201134	GCA_000893215.1
UP000201136	GCA_002114005.1
UP000201138	GCA_001443865.1
UP000201139	GCA_001927035.1
UP000201141	GCA_001550925.1
UP000201142	GCA_001579375.1
UP000201143	GCA_000884435.1
UP000201144	GCA_001965355.1
UP000201146	GCA_001968195.1
UP000201147	GCA_001579415.1
UP000201148	GCA_000904415.1
UP000201149	GCA_001745595.1
UP000201151	GCA_001934005.1
UP000201153	GCA_001500735.1
UP000201154	GCA_000866765.1
UP000201155	GCA_001501115.1
UP000201156	GCA_000921495.1
UP000201160	GCA_000930255.1
UP000201162	GCA_001960075.1
UP000201166	GCA_001962935.1
UP000201167	GCA_000897895.1
UP000201168	GCA_000838805.1
UP000201169	GCA_002238335.1
UP000201170	GCA_001630025.1
UP000201172	GCA_001646255.1
UP000201173	GCA_000892135.1
UP000201174	GCA_001961935.1
UP000201175	GCA_000885995.1
UP000201176	GCA_001967575.1
UP000201177	GCA_000845365.1
UP000201178	GCA_001964735.1
UP000201180	GCA_001968675.1
UP000201181	GCA_001924675.1
UP000201182	GCA_000929195.1
UP000201184	GCA_001925255.1
UP000201186	GCA_001744755.1
UP000201188	GCA_001959675.1
UP000201189	GCA_000881015.1
UP000201190	GCA_000982285.1
UP000201191	GCA_001440895.1
UP000201192	GCA_001957575.1
UP000201193	GCA_000885295.1
UP000201194	GCA_001470975.1
UP000201195	GCA_000915555.1
UP000201196	GCA_001962895.1
UP000201197	GCA_001957355.1
UP000201198	GCA_000931215.1
UP000201200	GCA_001959695.1
UP000201202	GCA_001755605.1
UP000201206	GCA_001974395.1
UP000201208	GCA_000865605.1
UP000201218	GCA_001962875.1
UP000201219	GCA_001028985.1
UP000201222	GCA_001923495.1
UP000201223	GCA_001959855.1
UP000201224	GCA_000840985.1
UP000201226	GCA_001933545.1
UP000201228	GCA_001743895.1
UP000201229	GCA_001958795.1
UP000201230	GCA_000886615.1
UP000201231	GCA_001964975.1
UP000201234	GCA_001962755.1
UP000201235	GCA_000908275.1
UP000201236	GCA_001923335.1
UP000201237	GCA_001924475.1
UP000201238	GCA_001960695.1
UP000201240	GCA_002008735.1
UP000201241	GCA_001745515.1
UP000201242	GCA_001589395.1
UP000201243	GCA_001743715.1
UP000201244	GCA_000893055.1
UP000201245	GCA_001966855.1
UP000201247	GCA_000885555.1
UP000201248	GCA_001754785.1
UP000201249	GCA_001964835.1
UP000201250	GCA_001965955.1
UP000201252	GCA_000904455.1
UP000201255	GCA_002116215.1
UP000201256	GCA_001879265.1
UP000201257	GCA_000855885.1
UP000201259	GCA_001958015.1
UP000201260	GCA_000896195.1
UP000201262	GCA_000914615.1
UP000201264	GCA_000881455.1
UP000201267	GCA_001907805.1
UP000201270	GCA_001502195.1
UP000201271	GCA_000845345.1
UP000201273	GCA_001923975.1
UP000201274	GCA_000840685.1
UP000201276	GCA_000875065.1
UP000201277	GCA_001935005.1
UP000201278	GCA_001924915.1
UP000201281	GCA_000850845.1
UP000201282	GCA_001190395.1
UP000201284	GCA_000921255.1
UP000201286	GCA_001965975.1
UP000201287	GCA_000883515.1
UP000201288	GCA_001501275.1
UP000201290	GCA_000875525.1
UP000201291	GCA_002008495.1
UP000201294	GCA_001923375.1
UP000201295	GCA_001933785.1
UP000201296	GCA_000888155.1
UP000201297	GCA_001963955.1
UP000201298	GCA_001645915.1
UP000201302	GCA_001923475.1
UP000201306	GCA_000840545.1
UP000201310	GCA_000838005.1
UP000201312	GCA_000901295.1
UP000201313	GCA_000871705.1
UP000201315	GCA_002008475.1
UP000201316	GCA_000931075.1
UP000201320	GCA_001965875.1
UP000201322	GCA_002240205.1
UP000201324	GCA_000908875.1
UP000201325	GCA_001961235.1
UP000201331	GCA_001926935.1
UP000201332	GCA_000855105.1
UP000201334	GCA_000908175.1
UP000201335	GCA_000943625.1
UP000201337	GCA_001516975.1
UP000201338	GCA_001926655.1
UP000201339	GCA_001960595.1
UP000201342	GCA_001923315.1
UP000201345	GCA_001963115.1
UP000201347	GCA_000913355.1
UP000201348	GCA_000868545.2
UP000201349	GCA_000954395.1
UP000201350	GCA_001963255.1
UP000201351	GCA_000871065.2
UP000201353	GCA_001923355.1
UP000201354	GCA_001745715.1
UP000201356	GCA_001907865.1
UP000201358	GCA_000908715.1
UP000201359	GCA_001960295.1
UP000201360	GCA_000917135.1
UP000201362	GCA_001505935.1
UP000201363	GCA_000919495.1
UP000201365	GCA_001551005.1
UP000201367	GCA_000908775.1
UP000201368	GCA_000895695.1
UP000201369	GCA_001551545.1
UP000201371	GCA_001754305.1
UP000201372	GCA_000910175.1
UP000201373	GCA_001470735.1
UP000201375	GCA_001967115.1
UP000201376	GCA_001891035.1
UP000201378	GCA_002210595.1
UP000201379	GCA_001961015.1
UP000201380	GCA_001923455.1
UP000201382	GCA_001019835.1
UP000201383	GCA_001962855.1
UP000201385	GCA_001500915.1
UP000201386	GCA_001755285.1
UP000201387	GCA_000918895.1
UP000201389	GCA_000906875.1
UP000201390	GCA_000908295.1
UP000201393	GCA_002219945.1
UP000201395	GCA_001963935.1
UP000201397	GCA_001974055.1
UP000201399	GCA_001958975.1
UP000201400	GCA_001967815.1
UP000201401	GCA_000922455.1
UP000201402	GCA_001934925.1
UP000201403	GCA_001590395.1
UP000201404	GCA_001884535.1
UP000201407	GCA_001925735.1
UP000201408	GCA_000881055.1
UP000201409	GCA_001962575.1
UP000201410	GCA_000895435.1
UP000201414	GCA_001959255.1
UP000201415	GCA_000884055.1
UP000201417	GCA_001921655.1
UP000201418	GCA_002210535.1
UP000201419	GCA_001669825.1
UP000201421	GCA_001958215.1
UP000201424	GCA_000888115.1
UP000201425	GCA_000887895.1
UP000201426	GCA_001589575.1
UP000201427	GCA_001551145.1
UP000201428	GCA_000875545.1
UP000201431	GCA_000898055.1
UP000201432	GCA_001504095.1
UP000201433	GCA_000866985.1
UP000201434	GCA_001925835.1
UP000201435	GCA_001957875.1
UP000201436	GCA_001589495.1
UP000201440	GCA_001743675.1
UP000201441	GCA_001934605.1
UP000201442	GCA_000922055.1
UP000201444	GCA_001744835.1
UP000201446	GCA_001960795.1
UP000201447	GCA_000820355.1
UP000201450	GCA_000858905.1
UP000201451	GCA_001959115.1
UP000201452	GCA_001963595.1
UP000201453	GCA_002158575.1
UP000201454	GCA_001959315.1
UP000201456	GCA_001970505.1
UP000201457	GCA_001924835.1
UP000201461	GCA_000910195.2
UP000201462	GCA_002158655.1
UP000201463	GCA_001935745.1
UP000201464	GCA_000888775.1
UP000201465	GCA_001995575.1
UP000201468	GCA_001443965.1
UP000201469	GCA_001961335.1
UP000201470	GCA_001935105.1
UP000201471	GCA_000918055.1
UP000201475	GCA_000845285.1
UP000201481	GCA_000889955.1
UP000201484	GCA_000838245.1
UP000201486	GCA_001934465.1
UP000201488	GCA_001927235.1
UP000201489	GCA_000909815.1
UP000201490	GCA_000886555.1
UP000201492	GCA_001957735.1
UP000201493	GCA_001962955.1
UP000201495	GCA_002004055.1
UP000201497	GCA_002004995.1
UP000201500	GCA_001501215.1
UP000201502	GCA_001966835.1
UP000201503	GCA_001590355.1
UP000201504	GCA_000915635.1
UP000201505	GCA_002219645.1
UP000201506	GCA_001501915.1
UP000201507	GCA_001567075.1
UP000201509	GCA_001755325.1
UP000201510	GCA_000880775.1
UP000201511	GCA_001966275.1
UP000201513	GCA_000866305.1
UP000201516	GCA_002024735.1
UP000201517	GCA_001926635.1
UP000201518	GCA_001923195.1
UP000201526	GCA_002158795.1
UP000201527	GCA_001446225.1
UP000201528	GCA_001547705.1
UP000201530	GCA_000905155.1
UP000201531	GCA_000923875.1
UP000201532	GCA_001933965.1
UP000201535	GCA_000882735.1
UP000201536	GCA_001961055.1
UP000201537	GCA_001966515.1
UP000201538	GCA_000928235.1
UP000201539	GCA_000904375.1
UP000201540	GCA_001965895.1
UP000201542	GCA_001461505.1
UP000201543	GCA_002219545.1
UP000201544	GCA_001970525.1
UP000201546	GCA_001927195.1
UP000201549	GCA_001551245.1
UP000201551	GCA_001935345.1
UP000201553	GCA_001923395.1
UP000201554	GCA_002003875.1
UP000201555	GCA_000869405.1
UP000201556	GCA_000865805.1
UP000201558	GCA_000884075.1
UP000201560	GCA_000923995.1
UP000201564	GCA_001970565.1
UP000201565	GCA_000943705.1
UP000201566	GCA_000911655.1
UP000201567	GCA_002008595.1
UP000201568	GCA_000868885.1
UP000201570	GCA_001505035.1
UP000201571	GCA_000901435.1
UP000201573	GCA_001907845.1
UP000201574	GCA_000894495.1
UP000201575	GCA_000930975.1
UP000201576	GCA_000875565.1
UP000201578	GCA_001935625.1
UP000201580	GCA_001579475.1
UP000201581	GCA_001973955.1
UP000201582	GCA_001926475.1
UP000201583	GCA_001661735.1
UP000201585	GCA_001923995.1
UP000201586	GCA_001924455.1
UP000201587	GCA_002219925.1
UP000201588	GCA_001736935.1
UP000201589	GCA_001550705.1
UP000201591	GCA_000895035.1
UP000201592	GCA_001962455.1
UP000201593	GCA_001967335.1
UP000201594	GCA_001744975.1
UP000201595	GCA_001590415.1
UP000201597	GCA_000851525.1
UP000201598	GCA_001967675.1
UP000201599	GCA_001021315.1
UP000201600	GCA_000909375.1
UP000201602	GCA_001470335.1
UP000201603	GCA_002163405.1
UP000201604	GCA_001921515.1
UP000201608	GCA_001271015.1
UP000201609	GCA_000924995.1
UP000201612	GCA_001970485.1
UP000201613	GCA_900184895.1
UP000201614	GCA_001966695.1
UP000201615	GCA_001935085.1
UP000201617	GCA_001590215.1
UP000201618	GCA_001754465.1
UP000201619	GCA_000929655.1
UP000201620	GCA_001736395.1
UP000201622	GCA_001470135.1
UP000201624	GCA_000889575.1
UP000201625	GCA_001754585.1
UP000201627	GCA_000926055.1
UP000201628	GCA_000926335.1
UP000201629	GCA_001963355.1
UP000201630	GCA_001501195.1
UP000201632	GCA_002008695.1
UP000201633	GCA_000855145.1
UP000201635	GCA_001957775.1
UP000201636	GCA_000837045.1
UP000201637	GCA_000875365.1
UP000201638	GCA_000904435.1
UP000201639	GCA_001958895.1
UP000201640	GCA_000904035.1
UP000201641	GCA_001961855.1
UP000201642	GCA_001966295.1
UP000201644	GCA_001934865.1
UP000201646	GCA_001551125.1
UP000201648	GCA_001590595.1
UP000201649	GCA_000898355.1
UP000201650	GCA_000912855.1
UP000201653	GCA_001965755.1
UP000201657	GCA_001966015.1
UP000201659	GCA_000867005.1
UP000201664	GCA_001500815.1
UP000201667	GCA_001963715.1
UP000201668	GCA_001441055.1
UP000201669	GCA_001589895.1
UP000201671	GCA_001970585.1
UP000201672	GCA_001960375.1
UP000201673	GCA_001831345.1
UP000201674	GCA_000874165.2
UP000201675	GCA_001502035.1
UP000201677	GCA_001576855.1
UP000201678	GCA_001934285.1
UP000201679	GCA_001754885.1
UP000201683	GCA_000882155.1
UP000201684	GCA_001461545.1
UP000201685	GCA_001689855.1
UP000201686	GCA_001967795.1
UP000201689	GCA_001744875.1
UP000201690	GCA_000852565.1
UP000201691	GCA_001935565.1
UP000201694	GCA_000885775.1
UP000201695	GCA_001589415.1
UP000201696	GCA_001965435.1
UP000201699	GCA_000848005.1
UP000201701	GCA_001957535.1
UP000201702	GCA_001745855.1
UP000201705	GCA_001974315.1
UP000201708	GCA_000852285.1
UP000201709	GCA_001645955.1
UP000201710	GCA_001963455.1
UP000201713	GCA_002219605.1
UP000201714	GCA_001968455.1
UP000201715	GCA_000916595.1
UP000201716	GCA_001958715.1
UP000201717	GCA_000911895.1
UP000201718	GCA_001958735.1
UP000201719	GCA_001661715.1
UP000201720	GCA_001967695.1
UP000201722	GCA_001966475.1
UP000201724	GCA_000845605.1
UP000201727	GCA_001962515.1
UP000201728	GCA_002240035.1
UP000201732	GCA_001184805.1
UP000201737	GCA_000870065.1
UP000201738	GCA_000904395.1
UP000201739	GCA_000969015.1
UP000201740	GCA_000838685.1
UP000201742	GCA_001966035.1
UP000201745	GCA_000899775.1
UP000201746	GCA_000929275.1
UP000201747	GCA_001745275.1
UP000201748	GCA_001970745.1
UP000201749	GCA_000875585.1
UP000201750	GCA_000897595.1
UP000201752	GCA_001959875.1
UP000201753	GCA_001736495.1
UP000201756	GCA_001190495.1
UP000201758	GCA_001974275.1
UP000201759	GCA_001654325.1
UP000201760	GCA_001551485.1
UP000201761	GCA_001935405.1
UP000201762	GCA_002004195.1
UP000201763	GCA_000850285.1
UP000201764	GCA_001960355.1
UP000201765	GCA_001970665.1
UP000201767	GCA_002219445.1
UP000201768	GCA_001967415.1
UP000201770	GCA_002080235.1
UP000201774	GCA_001965275.1
UP000201776	GCA_000930315.1
UP000201777	GCA_001444145.1
UP000201779	GCA_000921455.1
UP000201780	GCA_000925375.1
UP000201781	GCA_001021255.1
UP000201782	GCA_001754545.1
UP000201785	GCA_001745535.1
UP000201787	GCA_000899795.1
UP000201788	GCA_001755425.1
UP000201790	GCA_000853845.1
UP000201791	GCA_002118385.1
UP000201792	GCA_001959895.1
UP000201794	GCA_001589835.1
UP000201795	GCA_000855245.1
UP000201797	GCA_001754245.1
UP000201798	GCA_000844785.1
UP000201799	GCA_001959335.1
UP000201800	GCA_001964635.1
UP000201801	GCA_001962595.1
UP000201802	GCA_002210895.1
UP000201803	GCA_001967135.1
UP000201804	GCA_002194485.1
UP000201807	GCA_001961475.1
UP000201810	GCA_001504195.1
UP000201811	GCA_001744635.1
UP000201812	GCA_000843205.1
UP000201814	GCA_001959635.1
UP000201815	GCA_001958875.1
UP000201817	GCA_001935645.1
UP000201818	GCA_001470255.1
UP000201819	GCA_000916675.1
UP000201825	GCA_000844305.1
UP000201826	GCA_001754405.1
UP000201827	GCA_001960895.1
UP000201828	GCA_000886075.1
UP000201830	GCA_000894555.1
UP000201831	GCA_001964055.1
UP000201832	GCA_000837345.1
UP000201835	GCA_000915175.1
UP000201836	GCA_001695505.1
UP000201838	GCA_900184815.1
UP000201839	GCA_000851065.1
UP000201840	GCA_001646175.1
UP000201841	GCA_001966075.1
UP000201842	GCA_001923675.1
UP000201843	GCA_001959595.1
UP000201844	GCA_001755205.1
UP000201845	GCA_002003895.1
UP000201846	GCA_000906035.1
UP000201847	GCA_001470595.1
UP000201848	GCA_001963395.1
UP000201852	GCA_001970325.1
UP000201856	GCA_001958455.1
UP000201858	GCA_001737075.1
UP000201860	GCA_001963175.1
UP000201861	GCA_002157455.1
UP000201862	GCA_001904845.1
UP000201863	GCA_000970565.1
UP000201864	GCA_000898615.1
UP000201865	GCA_000923415.1
UP000201866	GCA_002158555.1
UP000201867	GCA_001630085.1
UP000201869	GCA_001959755.1
UP000201870	GCA_001959175.1
UP000201871	GCA_001881755.1
UP000201875	GCA_001970605.1
UP000201876	GCA_001722745.1
UP000201877	GCA_001960815.1
UP000201878	GCA_000893095.1
UP000201879	GCA_000849465.1
UP000201880	GCA_000890675.1
UP000201881	GCA_001866895.1
UP000201882	GCA_001958415.1
UP000201890	GCA_001934205.1
UP000201891	GCA_001974035.1
UP000201892	GCA_001744515.1
UP000201893	GCA_001935065.1
UP000201895	GCA_002024695.1
UP000201897	GCA_001967955.1
UP000201899	GCA_000861065.1
UP000201900	GCA_001924555.1
UP000201903	GCA_002146165.1
UP000201906	GCA_002219965.1
UP000201907	GCA_001736815.1
UP000201908	GCA_000926255.2
UP000201909	GCA_001974515.1
UP000201911	GCA_000899135.1
UP000201915	GCA_001743995.1
UP000201916	GCA_001925715.1
UP000201917	GCA_001465085.1
UP000201918	GCA_001470995.1
UP000201921	GCA_002114025.1
UP000201922	GCA_001717295.1
UP000201924	GCA_001967175.1
UP000201925	GCA_001957295.1
UP000201927	GCA_001963795.1
UP000201928	GCA_000905495.1
UP000201933	GCA_001502495.1
UP000201935	GCA_000852045.1
UP000201936	GCA_000928935.1
UP000201937	GCA_002004215.1
UP000201939	GCA_000866905.1
UP000201940	GCA_000875665.1
UP000201941	GCA_001963775.1
UP000201943	GCA_000849285.1
UP000201945	GCA_000922935.1
UP000201947	GCA_001957955.1
UP000201948	GCA_001965595.1
UP000201949	GCA_001933865.1
UP000201950	GCA_001470915.1
UP000201952	GCA_000871685.1
UP000201953	GCA_002004775.1
UP000201954	GCA_001502775.1
UP000201955	GCA_000851045.1
UP000201961	GCA_001924075.1
UP000201964	GCA_000915875.1
UP000201965	GCA_001589815.1
UP000201966	GCA_001502535.1
UP000201968	GCA_001744255.1
UP000201969	GCA_002210795.1
UP000201971	GCA_000914355.1
UP000201973	GCA_000838585.1
UP000201975	GCA_001966895.1
UP000201976	GCA_000929255.1
UP000201978	GCA_001505535.1
UP000201980	GCA_001965555.1
UP000201981	GCA_000929335.1
UP000201982	GCA_001964135.1
UP000201983	GCA_000909395.1
UP000201985	GCA_000899215.1
UP000201987	GCA_000899175.1
UP000201988	GCA_001745655.1
UP000201993	GCA_001960935.1
UP000201994	GCA_001961535.1
UP000201995	GCA_002105425.1
UP000201998	GCA_001934845.1
UP000201999	GCA_000838185.1
UP000202000	GCA_001755545.1
UP000202001	GCA_001755745.1
UP000202002	GCA_001461425.1
UP000202003	GCA_000865645.1
UP000202004	GCA_002004255.1
UP000202006	GCA_001964655.1
UP000202009	GCA_001551325.1
UP000202011	GCA_000840105.1
UP000202013	GCA_001964455.1
UP000202016	GCA_000854505.1
UP000202017	GCA_001907825.1
UP000202018	GCA_000922795.1
UP000202019	GCA_001957915.1
UP000202021	GCA_001678415.1
UP000202022	GCA_000910115.1
UP000202023	GCA_000921375.1
UP000202024	GCA_001184905.1
UP000202025	GCA_001550445.1
UP000202026	GCA_000874425.1
UP000202028	GCA_001963135.1
UP000202030	GCA_001500895.1
UP000202032	GCA_001935025.1
UP000202033	GCA_000919815.1
UP000202034	GCA_001921555.1
UP000202035	GCA_001962435.1
UP000202037	GCA_001502595.1
